language,tweet_count
"…\"\" https://t.co/1gGjXQuR9E\"",1
"I'm standing here today.\"\" https://t.co/v1VnvijlJB\"",1
plain and simple. Born winner,1
"Saudi #ExMuslims https://t.co/K1ru7fYMZO\"",1
"\"\"YOU\"\" Should Have Been There! https://t.co/PnE5crMzO8\"",1
"go on hunger strike over Thanksgiving\"\" https://t.co/YLghRsnuIL\"",1
Syria,1
"Tennessee.\"\"\"",1
"an attack on #Syria can happen again.\"\" https://t.co/W56DayGlnM\"",1
CBS,1
"die Gewerkschaften...vllt. auch Deine Wählerstimme? https://t.co/KPZCTkIrnp\"",1
"dishonesty &amp; arrogance....best describe the reality of #WallStreet today.\"\" @SenSanders #HealAmerica https://t.co/45dZdBxUh3\"",1
"John. I hope the view is tremendous.\"",1
&amp; greed. &amp; after all is said &amp; done,1
"or form that we stood in the way of that is 100% false.\"\" - @PressSec on @SallyQYates story https://t.co/dgxvgaEBIl\"",1
"\"\" \"\"supremacist\"\" pariahs under attack. #tcot\"",1
and other states that were very close,1
"yeah right like Ryan Lochte\"\" - @LilTunechi ���'\"",1
"and so are the words PRESIDENT TRUMP!\"\" https://t.co/ybDXfK8Sjy\"",1
very,1
"and the saints. They are your public.\"\" - Saint John Vianney 🙏\"",1
"Bill? Nice simile you've got going there!   By @charliespiering https://t.co/xEdpC0jISD https://t.co/xK1jblDD2p\"",1
"God bless you &amp; God bless America\"\" #MAGA https://t.co/X3Q74Tz1y8\"",1
"the world's foremost expert on erasing things.” @CarolCNN\"",1
"She’s “The Beyonce Of First Ladies”…\"\" https://t.co/FpxRmfQlwU\"",1
"and various agendas. On the other hand even people like me who saw this all via.\"",1
"we will......\"",1
"das geht schon OK. #Taqiyya undso.  #Kufrs'\"",1
"or a ladder. Help someone's soul heal. Walk out of your\"\" https://t.co/lETzmvVaJC\"",1
"more than ever.\"\" - @realDonaldTrump\"",1
"and I think he's going to lead us to real job creation\"\" https://t.co/rxnWpwIo2N\"",1
"&amp; whiners.\"\" https://t.co/x3J7XNyOl5\"",1
"et je ne veux pas avoir la boule au ventre quand ils vont dehors.\"\" #15minutesPourConvaincre\"",1
"Russia or Comey. They can't lie to you if you don't watch. https://t.co/D4bGhvHn9O\"",1
who was born on August 13,1
"&amp; 4 the U.S\"\"  ~ 2007 GEORGE BUSH https://t.co/RyYkHAlWYn\"",1
"\"\" Frankly Speaking.\"",1
"\"\" with a straight face. LOLOLOLOLOLOL\"",1
"just ABOLISH them!\"\" https://t.co/icdhC3gjLP\"",1
"lame excuses make sense? Umm… NO. #TrumpTaxReturns\"",1
"Obama doesn't even have Hillary as president to pardon him!\"\" #SusanRice Carter Page Seychelles https://t.co/uvkWukFi7l\"",1
Sept 16,1
"000 con dinero de sus tontos admiradores. https://t.co/b8wARHjcmp\"",1
fully digital screen wall,1
"Bernie #birther #DemExit #Election2016\"",1
"pero Clinton es la más peligrosa\"\"  dice Oliver Stone    https://t.co/3fTLFc2TdY\"",1
crackdown on sanctuary cities,1
"with LIBERTY and JUSTICE for ALL\"\" #MakeAmericaGreatAgain Jan 20th cant come soon enough!! #AmericaFirst https://t.co/iy5saRr32t\"",1
"Just Enforce the Employment Laws\"\" https://t.co/pFBx4383Pz\"",1
"that we should be called the sons of God...\"\" 1John 3:1 https://t.co/FkDpNvN6Vx\"",1
"en pire !\"\" @CNEWS\"",1
"said the adorable puppy. https://t.co/1qSD9F2TIU\"",1
the House &amp; Senate,1
"the panel did not bother even to cite this (the) statute.\"\" A disgraceful decision!\"",1
apportioned,1
"has gone to court over... https://t.co/PGnI9pEEfO\"",1
"которые в эту лабуду верят. https://t.co/1QKdWzo6jJ\"",1
"KY. https://t.co/TQNZdD80hN\"",1
"1882. #writing\"",1
"Hitler &amp; Nazi\"\" that's what they're doing. #MASA🇺🇸\"",1
including the murders,1
"https://t.co/4AFFkb7jG3\"",1
"Hitler &amp; Nazi\"\" that's what they're …\"",1
explorer,1
Y'ALL MAD. WE SPEAK UP,1
"desert!\"\"). @sbobkov https://t.co/97TEwVge9X\"",1
American aluminum,1
"но не это!!! https://t.co/5pyfSHWdZY\"",1
"they'd think \"\"oh maybe this is important?\"\"\"",1
направлен больше против ЕС,1
"a barrage of utter BS\"",1
"Thanks Australia PM https://t.co/n11vT4XAA9\"",1
60 Minutes,1
"and statistics.\"\" An economist's guide to #Brexit https://t.co/xNexYRmsEO  https://t.co/wV46wdQ8Fy\"",1
"right?\"\" 😂\"",1
"now get over it\"\" said the person waving a confederate flag\"",1
South,1
"\"\"deserted\"\" Afghanistan where the MOAB was dropped is home to people.  Almost 95",1
"then I feel like dying\"\" - Lil Wayne\"",1
"FBI going …\"",1
"and marijuana.\"\"\"",1
"tumblin'\"\" https://t.co/2ZNJVt1rS6\"",1
"Palestine is my vendetta and the land of withstanding\"\" #FreePalestine ��✊� https://t.co/lj2r9S6PE3\"",1
Comey,1
"then go after people.\"\" -J.Davidson #Tucker #Impeac… https://t.co/AfdUOaWw95\"",1
"&amp; blue. It doesn't matter… https://t.co/PDaBaT97CQ\"",1
"кто вырос на шаблонной истории России - слушайте  https://t.co/x3venyO6xu\"",1
"and murder black people.… https://t.co/qpXDjm5d8W\"",1
"and a right to autonomy...\"\" https://t.co/9ZvejAUOiY\"",1
"Robbery-Free Murder Of DNC Data Exec https://t.co/1sIWSWsBpG #tcot https://t.co/QZ0iiX9RLY\"",1
пушки,1
"Geopolitical Turmoil Will Flare Up Like A Tinderbox\"\" https://t.co/NpIw3PuosE #economy #trump #realnews\"",1
"that has done everything in its power to fight Pr…\"",1
and a permit to carry,1
"sweat and tears!\"",1
"- резюмируют в русскоязычном.\"",1
во Флориде - на 1,1
не в ближайшие десятилетия,1
"26.04.2017 https://t.co/McRSRq8k81\"",1
2 días tortura,1
"\"\"Boy\"\" Mike Brown",1
don king,1
