tweet_date,tweet_count
2017-02-09,260
2017-02-10,271
2017-02-11,220
2017-02-12,237
2017-02-13,273
2017-02-14,234
2017-02-15,391
2017-02-16,328
2017-02-17,206
2017-02-18,241
2017-02-19,234
2017-02-20,333
2017-02-21,227
2017-02-22,303
2017-02-23,254
2017-02-24,265
2017-02-25,246
2017-02-26,248
2017-02-27,371
2017-02-28,341
2017-03-01,337
2017-03-02,255
2017-03-03,333
2017-03-04,254
2017-03-05,260
2017-03-06,253
2017-03-07,508
2017-03-08,533
2017-03-09,415
2017-03-10,406
2017-03-11,421
2017-03-12,449
2017-03-13,437
2017-03-14,441
2017-03-15,459
2017-03-16,442
2017-03-17,476
2017-03-18,450
2017-03-19,456
2017-03-20,399
2017-03-21,394
2017-03-22,381
2017-03-23,429
2017-03-24,475
2017-03-25,414
2017-03-26,434
2017-03-27,386
2017-03-28,432
2017-03-29,382
2017-03-30,518
2017-03-31,511
2017-04-01,455
2017-04-02,497
2017-04-03,441
2017-04-04,445
2017-04-05,408
2017-04-06,479
2017-04-07,476
2017-04-08,517
2017-04-09,432
2017-04-10,381
2017-04-11,428
2017-04-12,450
2017-04-13,479
2017-04-14,472
2017-04-15,523
2017-04-16,478
2017-04-17,480
2017-04-18,405
2017-04-19,406
2017-04-20,473
2017-04-21,483
2017-04-22,475
2017-04-23,393
2017-04-24,489
2017-04-25,429
2017-04-26,416
2017-04-27,423
2017-04-28,472
2017-04-29,446
2017-04-30,460
2017-05-01,410
2017-05-02,412
2017-05-03,415
2017-05-04,363
2017-05-05,197
2017-05-06,16
2017-05-07,23
2017-05-08,21
2017-05-09,21
2017-05-10,30
2017-05-11,26
2017-05-12,41
2017-05-13,15
2017-05-14,28
2017-05-15,21
2017-05-16,17
2017-05-17,26
2017-05-18,31
2017-05-19,34
2017-05-20,13
2017-05-21,13
2017-05-22,34
2017-05-23,29
2017-05-24,26
2017-05-25,34
2017-05-26,29
2017-05-27,19
2017-05-28,17
2017-05-29,29
2017-05-30,33
2017-05-31,29
2017-06-01,28
2017-06-02,37
2017-06-03,13
2017-06-04,20
2017-06-05,30
2017-06-06,43
2017-06-07,52
2017-06-08,95
2017-06-09,207
2017-06-10,117
2017-06-11,127
2017-06-12,187
2017-06-13,202
2017-06-14,208
2017-06-15,140
2017-06-16,41
2017-06-17,44
2017-06-18,55
2017-06-19,28
2017-06-20,25
2017-06-21,30
2017-06-22,34
2017-06-23,72
2017-06-24,17
2017-06-25,12
2017-06-26,24
2017-06-27,23
2017-06-28,38
2017-06-29,65
2017-06-30,98
2017-07-01,47
2017-07-02,68
2017-07-03,87
2017-07-04,74
2017-07-05,110
2017-07-06,130
2017-07-07,125
2017-07-08,109
2017-07-09,114
2017-07-10,126
2017-07-11,121
2017-07-12,120
2017-07-13,139
2017-07-14,130
2017-07-15,122
2017-07-16,132
2017-07-17,115
2017-07-18,103
2017-07-19,112
2017-07-20,111
2017-07-21,118
2017-07-22,200
2017-07-23,152
2017-07-24,161
2017-07-25,225
2017-07-26,148
2017-07-27,305
2017-07-28,294
2017-07-29,588
2017-07-30,690
2017-07-31,562
2017-08-01,420
2017-08-02,632
2017-08-03,703
2017-08-04,626
2017-08-05,527
2017-08-06,248
2017-08-07,1067
2017-08-08,1757
2017-08-09,2192
2017-08-10,2000
2017-08-11,2198
2017-08-12,5996
2017-08-13,4436
2017-08-14,4239
2017-08-15,4923
2017-08-16,5102
2017-08-17,4975
2017-08-18,5375
2017-08-19,154
2017-08-20,202
2017-08-21,242
2017-08-22,5
2017-08-23,7
2017-08-24,2
2017-08-25,59
2017-08-26,19
